proteinA;proteinB
Q06411;P40955
P39677;P40569
Q06410;P46956
P39005;P32773
Q08904;P46988
P46984;P25346
P46984;P33297
P39516;P53959
P35995;P08466
P43598;P40897
P06700;P53628
P06700;P06700
P06700;P54786
P54786;P06701
P54786;P11978
P04387;P04387
P04386;P29055
P29055;P21192
Q06630;P04386
P38764;P33299
P33299;P19812
P19812;P32565
P38987;Q12280
P38987;P27636
P27636;P22204
P38274;P34244
P38274;P38274
Q03497;P38274
P25389;P32457
P25342;P25389
P32458;P25389
P25389;P32468
P53313;P25293
P52919;P25293
P25293;Q12163
P53755;P47086
P47086;Q02794
P21651;Q02821
Q03759;P47096
P47101;P53181
Q05899;P21374
P46973;Q08932
P39725;P32529
P32529;P39557
P32529;P32602
P38258;P32529
P38300;P32529
P38301;P32529
P32529;P38958
P47128;P07253
Q12175;P47128
P47128;Q12378
P43574;P47128
O13532;P47128
P47128;P38922
P53951;P47128
P47128;P53933
P53728;P47128
Q12016;P47128
O13587;P47128
Q00684;P06700
P21691;P11978
P40958;P40957
P53742;P32639
P39682;P33334
Q02875;P32639
P32639;Q02775
P24384;Q02775
P33203;Q12186
P21374;P21374
Q03654;Q12309
Q12309;P53277
P24384;Q12309
Q12309;P21374
P39968;Q06628
P53104;Q12527
P53867;P38182
P22804;P38182
P38862;P38862
P26309;P47074
P47074;P26449
Q03497;P34730
P21705;P21657
P38147;P40316
Q12018;Q08273
Q05080;P41832
P40450;Q05080
P24869;P25293
P38261;Q00916
P53549;P04386
Q02516;P04386
P24583;P33767
P24583;Q02795
P39007;P24583
P41543;P24583
P51862;P54867
P51862;P36027
Q00245;P38339
Q00246;P38339
P39563;P06787
P38232;P06787
P32263;P06787
P06787;P40965
P06787;P32450
P06787;P43588
P43622;P06787
P53231;P06787
P06787;P32318
P06787;P16370
P34240;P06787
P36121;P06787
P06787;Q12473
Q06200;P06787
P06787;Q03691
P53616;P06787
P17536;P06787
P06787;P32573
Q02516;P06787
P36068;P38272
P06787;Q04792
Q12216;P39011
P21339;P41832
P38041;P40077
P39969;Q03497
P54786;P39969
P41698;Q03497
P41698;P36080
Q06604;P28495
P32458;Q12216
Q12405;P32458
P22224;P11433
P11433;Q03497
P40555;P34226
Q00245;P15790
Q00245;P43639
P38785;P38785
P38785;Q05080
P50111;P38785
P50111;Q06648
P41901;P08964
P08964;Q06580
P33420;Q12216
P33420;P33420
Q06835;P38822
P28006;P40187
Q03790;P46956
P32529;P38324
P21951;Q04603
P15891;P53933
P18562;P27515
P53894;P40484
P25293;Q12263
P15938;P32639
P53104;Q06410
P07834;Q08273
P04386;P53040
P15807;P06787
P05375;P06787
P53305;P38822
P38822;Q12244
P41821;P38836
P36528;P38699
P13517;P32605
P40482;P53237
P09938;P40350
P16649;P53973
P32639;Q12420
P50111;P32873
P32529;P38268
P38138;P06787
P32524;P38822
P38822;Q08548
P33420;P38822
P32505;P40497
Q06624;P40491
P28241;P47073
P0C0W1;P11986
P20840;P35184
P47082;P47128
P53742;P33334
P53867;P02557
P04386;P27351
Q04935;P06787
P32379;P06787
P41832;P54786
P38354;P40526
P38231;P08018
P32529;Q07555
Q06410;P38261
P38822;P39938
Q12415;P38825
P32837;P38829
P16522;Q02336
P16522;P08638
Q06708;P40524
P40484;P38335
P40442;P40484
P40454;Q08215
P47015;P38843
Q03653;P47011
P14680;Q08601
Q12017;P47003
P53045;P39532
P47085;P38696
P32529;P37298
P32529;Q03941
P49686;P47119
P53277;Q03654
Q03654;P21374
P53968;P38889
P53032;P14922
Q00916;P33334
P36421;P32566
P08964;Q06410
Q06410;P33420
P39011;P32873
P32873;P54786
P11433;P39011
P32458;P54786
P38834;P12687
P40555;Q00246
P54786;P32900
P40077;P54786
Q00578;Q02939
P23202;P32600
P24867;P17157
P04147;P48837
Q02629;P36161
Q02821;Q02629
P25604;Q99176
P40335;P38759
P24583;P50078
P17157;P20437
Q02629;P53840
P40335;P32913
Q06168;P32597
P46948;Q08491
P39743;Q06604
P32793;P39743
P17555;P32790
P32790;P53933
P39926;P38856
P14164;P31244
Q03290;P06839
Q00578;Q12004
P38265;P38907
P48581;P48581
Q02821;P18494
P18494;P32600
Q12018;P14682
P32628;P40087
P32628;P32628
P34218;P38147
P38147;P38147
P36006;P33204
Q02100;P32485
P53150;Q08387
Q02825;P16658
P39707;Q04675
P39707;Q02825
Q04675;Q02825
P32790;P40325
P50111;P32900
P28519;P32628
P32628;P32776
P32628;Q00578
P38794;P17157
P17157;P37366
P38811;P38915
P87108;O74700
P18239;O74700
P38283;P38991
P32479;P22082
P32591;P32479
P32480;P32591
P22082;P32480
P32803;Q05359
Q05359;P54837
P39704;Q05359
P02557;P48606
P39937;P40987
P32897;P00175
P38251;P32641
P32641;P40348
P06775;P20606
P32803;P20606
P22214;P20606
P40541;P32908
P40541;P47037
Q03784;P36149
P36149;Q99394
P32602;Q08144
Q04338;Q03322
Q01590;Q04338
Q03322;P31109
Q01590;P22214
P43682;Q01590
Q04338;Q12241
P48415;P38968
P38968;P15303
P40482;P38968
Q06632;P42841
P42841;Q06224
P42841;P29468
P45976;P42841
P42841;Q06102
P25298;P42841
P49686;P34216
P46673;P49686
P49686;P49687
P49686;Q03862
Q02630;P39705
P49686;P52918
P49686;P36161
P49686;P40069
P35729;P49686
P49686;P32499
P49686;Q06142
Q02892;P49686
P49686;P04147
P32505;P49686
P49686;P15303
P49686;P11745
P02994;P49686
Q02199;P52918
P36161;Q02199
Q02199;P40069
Q02199;P32337
Q02199;Q02932
P35729;Q02199
Q02199;Q06142
P46673;Q02199
P52891;Q02199
Q02199;P04147
Q02821;Q02199
P52918;P48837
P36161;P48837
P48837;Q04175
P31539;P48837
P32499;P48837
P48837;P46673
P49687;P48837
P48837;P52891
P32367;Q02629
Q02629;P38989
P49687;Q02629
Q99383;Q02629
P04147;Q02629
Q02630;P31539
P32767;Q02630
Q02630;Q99383
P53236;Q02630
P39705;P04147
P32324;P32499
Q06142;P32499
P20676;P32324
P47017;Q12517
Q12517;P57743
Q12517;P40089
Q12517;Q06406
Q12517;P53905
Q04175;Q02629
P35729;Q02629
Q02629;P38217
P46673;Q02629
Q02629;Q03862
Q02629;Q99257
Q02629;Q02932
Q02630;P36161
Q02630;P30822
Q02630;Q08287
Q04175;Q02630
Q02630;Q02932
Q99189;Q02630
Q02630;P38217
Q02630;P32499
P52891;Q02630
Q02630;P04147
Q02630;Q02821
Q02630;P15303
P40069;P39705
P32499;P39705
P39705;Q06142
P39705;Q02821
P32499;P04147
P20676;P04147
P38261;P89102
Q06245;P38261
P13393;P29055
P27614;P25604
P52490;P53152
P32849;P52490
P32849;P10862
P32458;P32457
P32457;P32468
P25342;P32468
P39968;P38881
P40003;P39968
P32639;P57743
P57743;P22147
P57743;P36048
P57743;P49704
P57743;Q03338
P20053;P57743
P49960;P57743
P40018;P57743
P40070;P57743
P32639;P47093
P47093;P36048
P47093;P19735
Q12420;P47093
P49704;P47093
P47093;Q03338
P47093;P43321
P25644;P22147
Q92331;Q92331
P02829;P33313
P40079;Q08096
P15646;Q08096
Q01454;P13382
Q08491;Q02793
P40484;P54199
Q12328;P47045
P87108;P47045
Q08749;P47045
P22224;P13856
Q12175;Q06032
Q04675;P16658
P40987;P02557
P32602;Q01590
Q02199;P32499
Q02199;P49687
P47017;P53905
Q02100;P14922
P48837;P35729
Q02630;P40069
P34110;P40335
Q08491;P38792
P16658;P39707
P40555;Q03465
P41832;P02994
Q02100;P16649
P47821;P17157
Q03322;P32602
P52891;P49686
P40069;Q02629
Q02629;P52891
P32324;P39705
P32855;P38261
P25604;Q02767
P57743;P33334
Q92331;P40335
P13382;P32558
P32790;P39743
Q02821;P48837
P32849;P32849
P32458;P25342
P38759;P34110
P39743;P33338
Q12134;P39743
P50111;P54786
P36006;P38328
Q12446;P36006
Q12158;P40541
P40541;Q04002
Q04002;Q12158
Q12158;P32908
Q12158;P47037
Q04002;P40090
P48837;Q02932
Q02629;P52593
P32499;Q02629
Q02629;Q02892
P38181;Q02629
P46673;Q02630
P10862;P10862
P52490;P10862
P21827;P40517
P32457;P25342
P47093;P33334
P47093;P53905
P33891;P41834
P41834;P22214
P22214;P28791
P22804;Q01590
P32602;Q04338
P15646;Q12460
Q12499;P15646
P28791;P41834
P47103;P33313
P32495;P28007
P28007;Q6Q547
P15646;P25582
P25582;Q12499
P38228;P21801
P38228;P33421
Q92331;P34110
P34110;P32913
Q92331;P38759
P10363;P13382
Q04636;P13382
Q04636;P32558
P40202;P40202
P38132;P24279
P29496;P38132
P00549;P21965
P21965;P39001
P23644;P49334
P32562;Q12158
P22216;P32447
P07261;Q01722
Q06639;P38781
Q00684;Q00684
P04386;P32569
P49956;P38877
P40339;P38877
P25559;P38877
P40348;P38877
P38877;P38629
P38251;P38877
P15891;P32381
P32381;P53731
P33204;P32381
P40518;P32381
P48415;P15303
P07276;P32776
Q00578;P07276
P40512;P06103
P38249;P40512
Q02100;Q02100
P19524;P53141
P22204;P31384
P39008;P22204
P26343;P26343
P26343;P42944
P31111;Q06032
Q06032;P53061
Q06032;P25301
Q06032;P32829
P34252;P47027
P13393;P53067
P53070;P32559
P35207;Q08491
P38111;Q04377
P40202;P00445
P40482;P48415
Q06032;P25454
P38228;Q00711
P20449;Q04839
Q12241;P32602
P53168;P32610
P47035;P06700
P31384;P38931
P06100;P31384
P10964;P47035
P39705;P21827
Q04338;P32912
P31384;P34909
Q08749;P32830
P47045;P32830
P40357;P30619
P40357;P22214
Q04359;P32854
P08964;Q12038
Q06624;Q12306
P52488;Q12306
Q07688;Q07084
P39928;Q07688
P39928;P39928
Q12038;P40357
Q04338;P32319
P38929;Q12255
Q12255;P38182
Q12241;P38182
P36057;P32916
Q08144;Q03322
Q03322;P38932
Q08144;Q04338
P47061;P39904
Q12071;P47061
Q12071;P39904
Q04839;P49686
P38806;P38811
Q08649;P38806
P43572;Q08649
P80428;Q08649
P80428;P38811
P43572;P80428
Q08649;P38811
Q08649;Q12432
Q12432;P38811
P04786;P53840
Q02208;P04786
P43609;P32597
P38784;P32341
Q12241;P20795
Q12241;P27801
Q12255;Q04338
P18851;Q04004
Q12017;P18851
Q06704;Q06704
P36015;Q01590
P34244;P26309
P34244;P53197
P23293;Q05949
P32259;P04050
Q9URQ3;P47058
P39723;P38863
P53540;P39723
P39723;P11927
P46957;P15436
P54861;P54861
P40079;P53168
P53168;P25043
P46681;P53168
P53168;P33299
P53168;P31385
P40564;P53168
Q03690;P53168
P40032;P53168
P53185;P53168
Q00618;P20133
P32912;Q12255
P40360;Q01217
P53632;P32908
P38989;P53632
P39743;P25693
Q07921;P38960
P32797;Q07921
P17214;P32797
P13382;P32797
P41814;P06103
P50875;P06844
P37838;P15646
Q03063;P20437
P33338;P38249
P32803;P54837
Q12255;P32602
Q03280;P25586
P46954;P39073
P46954;P46954
P11746;P41813
P26309;P24869
P24869;P53197
P47035;Q00684
P47035;Q02931
P32803;P38968
P32803;Q04491
P32803;P40482
P32803;P15303
P54837;P38968
P54837;Q04491
P54837;P15303
P40482;P54837
P47821;P39073
P36130;P31384
P43569;P31384
P25655;P36130
P22204;P36130
P43569;P43569
P43569;P38931
P38931;P39008
P38931;P06100
P38931;P36130
P39073;P22204
P39073;P25655
P06100;P39073
P39073;P36130
P39073;P06782
P47821;P06782
P06782;P32259
P38931;P20134
P20134;P47821
P25046;P20134
P43601;P38814
P43601;P25591
P43601;Q04958
P43601;P50277
P43601;Q12418
P14736;P43601
P47171;P43601
Q12030;Q12297
Q12030;P35177
Q12030;P40468
P43565;Q12030
Q12224;Q12030
P11938;Q12030
Q03935;Q12030
P24384;Q12030
Q12030;Q08685
Q12030;P33203
P35189;Q12297
P39008;P25655
P06100;P34909
Q12514;P06100
P31384;Q12514
P22138;P10964
P39008;P14680
P13393;P06100
Q12514;P13393
Q12514;P38129
Q12514;Q03761
P39685;P52593
P04386;P04386
P21965;P33322
P50623;P40969
P40969;P40969
P32569;P32585
P39073;P32585
P32585;P47821
P38249;P40217
Q04067;P38249
P38249;Q05775
Q05775;P06103
Q05775;Q04067
P38431;Q05775
P38431;P38249
P32911;P38249
Q05775;P32911
P38082;P06782
Q03125;P06782
P17442;P17157
Q02821;Q06142
P21827;P32499
P20676;P21827
P32571;Q12250
P38956;Q12250
Q04062;P32911
P53243;Q04062
Q04062;Q06708
Q08723;P32496
Q07478;P40302
P23638;P23639
P30656;P25451
P47050;P30657
Q03465;P23724
P43609;P22082
P35177;P50875
P31384;P39073
P34909;P39008
P50090;P38853
Q03630;P36149
P53271;P53168
P06102;P39008
P32504;P21965
P17157;P20052
P22082;P18480
P31384;P25655
P39113;P39113
Q12255;Q12241
P32602;P36015
P32494;Q03280
P39113;P46954
P20134;P32259
Q06677;P17891
P47035;P22138
P43609;P43609
P50875;P38915
P39073;P38931
P20052;P17442
P38217;P32505
P50875;P13393
Q03373;P20437
P38249;P06103
P42846;P25586
P39073;P32569
P25655;P47821
P47821;P06100
P31384;P47821
P38931;P25655
P38165;P43601
Q12030;P48361
Q12030;P39001
P24583;P47068
P47068;P40563
P38822;P14359
P80667;P39929
P53901;P32790
Q12250;Q12377
Q12250;Q08723
P38316;P43588
Q00776;Q12028
P39955;Q05080
P39743;P37370
P40095;P27637
Q12446;Q12446
Q12446;P25369
P33334;P53212
P40564;P33334
P38261;P33334
Q12151;P33334
P17629;P53552
P53552;P33441
O13539;P53552
P17629;P33441
P31374;P11710
P11710;P39732
P35845;P80667
P40494;P15891
P38822;P40453
P11710;P34250
P36037;P38753
P11710;P36119
P13186;P40073
P50942;P15891
P37370;P47068
P53933;P47068
Q12216;P47068
P53044;P47068
P53971;P47068
Q06625;P47068
P38041;P33304
P38041;Q05080
P38041;P40095
P47115;P38041
P38041;P53939
P38822;Q12144
P36006;P38822
P38822;P40020
P38822;Q12342
P53939;P38822
P38822;P24814
P38822;P38130
Q04835;P38822
P36125;P38822
P40450;P04821
Q12216;P04821
P53733;P04821
P11710;P40091
P11710;P40073
P41832;P11710
P40450;P11710
P24583;P11710
P11710;P33314
P40020;P11710
P21691;P11710
Q12753;P11710
P53947;P11710
P11710;P32606
Q12309;P11710
P38185;P11710
P36006;Q01389
P33400;Q05080
P47068;Q05080
Q05080;Q12446
P38339;Q12446
Q12446;Q92331
Q12446;P38852
P36006;P40450
P36006;P47068
P36006;P41832
P36006;P39743
P36006;P40453
P36006;Q08673
P53933;Q12163
P15274;P80667
P40450;P80667
Q06604;P40073
P32457;P40073
P53297;P40073
P40073;P40055
P40073;P53552
P40073;Q12446
P32790;Q12144
Q12270;P32790
Q12134;P32790
P32790;P38130
P41544;P32790
P36125;P32790
P25385;P32790
P37370;Q05080
P37370;P40467
P40036;P27637
P27637;P40187
P42073;P27637
Q12144;P32793
P53933;P32793
Q12270;P32793
P32793;P38130
Q04767;P27637
P53281;P53933
Q03973;P38753
Q01532;P38753
Q06604;P38753
P48524;P38753
P38753;P38351
P38753;P25604
P40453;P38753
Q08491;P38753
Q12168;P32793
P32793;P47129
P32793;Q12134
P32793;P36125
Q12250;Q04062
P43588;Q12250
Q08723;Q04062
P43588;Q04062
P53150;P33301
P12753;P33301
P40963;Q04003
Q99314;P40963
Q99314;P32447
P32447;P32479
Q06096;P40094
P39940;P35210
P25694;P53044
P40494;P32790
P32521;P40494
P33339;P46678
P43621;P53847
P31384;P53280
P25655;P53829
P53829;P06102
P53280;P53829
P33299;P40327
P32496;P40016
Q12514;P53829
P53829;P34909
P53829;P39008
P06100;P53829
P53280;P25655
P06102;P53280
P22204;P53829
P38931;P53829
P34909;P53280
P47166;Q99260
Q99260;P53258
Q99260;P47061
Q12071;Q99260
Q99260;P39904
Q03322;Q12071
P15891;P47117
P15891;Q08873
P15891;P08458
P15891;P16649
P15891;P32793
P38080;P07263
P07991;P38316
P30822;P38316
P14742;P38316
P32767;P38316
P20967;P38316
P38316;P39692
P40469;P38316
P38316;P16861
P38316;P38698
P09232;P38316
P54964;P38316
P38764;P38316
P38316;Q12250
Q12377;P38316
Q06103;P38316
P33299;P38316
Q00776;P42846
P33204;P38328
P38328;P37838
P38328;P38788
Q04636;P38328
P32381;Q07807
P38011;Q08444
P40523;P32873
P40340;P32873
Q12449;P38316
P38316;P46655
P38708;P38316
P38316;P38797
P40159;P38316
Q12466;P38316
P31373;Q12380
P08524;Q12380
P38993;Q12380
Q08235;Q00776
P53914;Q00776
Q00776;P25586
Q00776;Q02892
P37838;Q00776
Q00776;P04147
P21304;Q00776
Q08096;Q00776
Q00776;P38764
Q12522;Q00776
P33202;Q00776
Q00776;P38164
Q00776;P38779
Q00776;Q06178
Q08951;P38153
P09547;P38153
P07283;Q99186
P38328;Q05933
P53731;P38328
P32497;P38328
P35182;P53629
P32381;P30665
P32381;P32528
P38993;P32381
P14742;P32381
P32767;P32381
P32381;Q08723
P32381;P53549
P00937;P32381
P42846;P38011
P22336;P38011
Q12460;P38011
P48234;P38011
Q03921;P32873
P40988;P47113
P13134;P47113
P47113;Q06010
P47113;P53130
Q12734;P34730
Q07457;P32900
Q02796;Q07457
P26448;P48526
P47068;P40020
P32793;Q04322
Q06538;P38328
P35210;P35210
P53280;Q12514
P53974;P15891
P47068;Q04195
P40073;P38753
P07244;P38316
P38316;P20049
P02992;Q00776
P32381;Q06704
P47068;Q07555
P39940;Q12446
Q08446;P80667
P38886;P38316
P39969;P40073
P32793;Q12446
Q12446;P47068
P38822;Q12446
P04821;P38272
P11710;P53941
P36006;P36150
P25046;P36006
Q05080;P40073
P31384;P53829
P38316;P32481
P38316;P40016
P38132;P32381
P32381;P40469
Q04225;P14126
P07248;P40073
P38257;P32793
P38328;P53960
P53933;P38822
Q12270;P38822
Q06604;P38822
P38822;P25385
P40073;P46674
P40073;P18494
P40073;P22147
Q04835;P32790
Q06604;P32793
P14359;P32793
P32793;P41544
Q04003;Q99314
P32447;Q04003
P40963;P32447
P08566;P38316
P38316;P32381
Q12527;P38316
P38316;P38993
P40988;P38316
P18759;P38316
Q02804;P36040
P07248;P32381
P38077;P32381
P41832;P32381
P11710;P53950
P38316;P46672
P40073;P24583
Q04373;Q08004
P12962;P25293
P36130;P39077
P38788;Q00684
P16522;Q12379
P32908;P32562
P47037;P32562
P06243;Q07471
P15790;P42846
P15790;P40991
P06787;P53119
P38077;P53622
Q00764;P22204
Q08496;P09436
P34252;P15790
P53861;P50094
P53861;Q12024
P15303;P53323
P15790;P36080
P46963;Q12427
Q12754;Q08496
Q02821;Q03373
Q02908;P42935
P46947;Q03690
Q03048;Q08004
Q08004;P53961
P02309;Q08004
Q03973;Q08004
P02293;Q08004
Q08004;P23301
P38203;Q08004
P40513;Q08004
P32787;Q08004
Q08004;P35194
Q08004;P28817
Q08004;P38779
Q08004;P40563
Q08004;Q07915
Q02608;Q08004
Q08004;P32794
P38783;Q08004
Q08004;P33399
Q08004;P38861
Q02892;Q08004
Q08004;P21304
Q08004;Q03976
Q08004;P53163
Q08004;P38883
P47019;Q08004
P53323;P07991
P53323;P30822
P53323;P38705
Q03835;P53323
P50094;P53323
P53323;P17442
P53323;P04840
P53323;P38764
Q12250;P53323
P53323;Q12377
P53323;P18759
P53323;P28274
Q05635;P53323
P47122;P53323
P36132;P53323
P53323;Q03705
P53323;Q05016
Q08490;P53323
P12962;Q04739
P36130;P39076
P40413;P36130
Q05785;P36130
P36130;P38755
P20424;P36130
P36130;P12612
P23301;P00812
Q02821;P33322
P33322;P40486
P32381;P53894
P08431;P53894
P43563;P53894
P53894;P09232
P40509;P53894
P53894;Q12118
P25294;P53894
P53894;P24276
P40468;P53894
P53894;P50101
P32366;P53894
P32582;P31384
P31384;P25367
P15705;P31384
P25342;P09624
Q07657;P25342
P32458;Q03690
P17967;P32458
P38764;P32458
P32458;P39935
P32458;P06786
P38773;P32468
P50094;P32468
P05694;P32468
P32048;P32468
P32468;P35691
P10127;P32797
P38891;P32797
P07170;Q00684
P38077;Q00684
P09457;Q00684
Q00684;P30902
P14020;Q00684
Q00684;P18562
Q12398;Q00684
P36060;Q00684
P12904;Q00684
Q00684;Q00764
P07806;Q00684
P53867;P27636
P17255;P27636
P26309;P39076
P39077;P26309
P40413;P26309
P23542;P32457
P32457;P13663
P32457;Q07657
P32457;P16120
P36041;P07260
P12904;P07260
P07260;P00899
P07260;Q12449
P32562;P40541
P32562;Q06142
P53883;P32562
Q02821;P32562
Q04934;P32562
P38352;Q12018
Q06479;Q12018
P39076;Q00362
P39077;Q00362
P40413;Q00362
P06243;P47134
P06243;Q00764
P39077;P53197
P38147;P49573
Q04660;P15790
P15790;Q03532
P02309;P15790
P06243;P53114
P28000;P06243
P20606;P06243
P06243;P41811
P15705;P06243
Q05979;P06243
P06243;Q06708
Q06218;P04819
P04819;P15873
Q08902;P04819
P39076;P53197
P25293;P53197
P53197;P50101
P14742;P38147
P54072;P38147
Q01649;Q03690
P15790;P07278
P15790;P24783
P15790;Q02642
P15790;Q03213
P53914;P15790
P32787;P15790
P15790;Q02892
P15790;P38911
P17967;P15790
Q04636;P15790
P15790;Q04373
P21304;P15790
P15790;Q05022
P15790;P32432
P15790;P32558
P15790;P38789
P39935;P15790
P15790;Q12522
P09880;P15790
P15790;Q12206
Q04599;P15790
P40010;P15790
P15790;P53254
P53261;P15790
Q03048;P06787
P09436;P06787
P51534;P06787
P40509;P53622
P00937;P53622
Q08968;P53622
P07256;P41735
P41735;P41833
Q07896;P15790
Q05949;P20486
P30283;P20486
P20486;P23301
P53834;P06787
P06787;P23301
P06787;P53141
P06787;P36006
P06787;P38272
P06787;P00445
P06787;P22515
P06787;Q07878
P36010;P06787
P14747;P38629
P14747;Q06103
P33313;P06168
P39676;P33313
Q03048;P08678
P33892;Q03048
Q03048;P53067
P17442;Q03048
Q03048;P54964
Q03048;P17555
Q03048;P43637
P07248;P53622
P46956;P53622
P09232;P53622
P43621;P53622
P53622;P32074
P41810;P53622
P53622;P41811
P41735;P23394
P40363;P41735
P07260;P33308
P04840;P33308
P11076;P35203
Q01560;Q03957
Q03957;P32432
Q08965;Q08496
P22204;P08678
P30624;P22204
P22204;Q12250
P22204;P33297
P41811;P22204
P22204;P17255
P47122;P22204
P40339;Q08949
Q08496;P29496
Q08496;Q12018
Q08496;P20486
Q08496;Q03048
Q08496;Q01454
Q12389;Q08496
P53914;Q08496
Q08496;P42846
Q08496;P34239
Q08496;P29469
P24279;Q08496
Q08962;Q08496
Q08496;P38861
Q08496;Q08208
Q08496;P38911
P38788;Q08496
P53011;Q08496
P52286;Q08496
Q00772;Q08496
Q08496;P25582
P38789;Q08496
Q08496;Q12522
P14680;Q08496
P38164;Q08496
P38779;Q08496
Q08496;P34241
P34252;P53622
Q02821;P34252
P34252;P10127
P13663;P39009
P39935;P47027
P40513;P34252
P39112;P34252
P34252;P09880
P34252;P08431
P34252;P38523
P34252;P15019
P32601;P32794
Q02892;P32601
Q03862;P32601
P32601;P53261
P47019;P32601
P39009;P10127
P39009;P07260
P38075;P39009
P39009;P00445
P22203;P39009
Q12449;P39009
P43567;P39009
P36049;P53861
P53861;Q04660
P53861;Q12341
P53914;P53861
P15424;P53861
P53861;Q02892
P53861;P15646
P53861;Q08208
P32606;P53861
Q04373;P53861
P21304;P53861
P53861;P14680
P53861;P40050
P53861;P53254
P53261;P53861
P53861;P38779
P53861;P36160
P53861;Q12230
Q12754;P53861
Q12159;P53861
Q08004;Q08208
P31384;P19812
P04840;Q12018
P15790;P40057
Q03957;P06101
P43583;Q08004
P53261;Q08004
Q12460;P33322
Q12460;P15790
P53914;Q03957
P38201;P36130
P46672;P25342
P09232;Q12018
P06243;O13555
P15790;P21951
P20486;P20437
P38333;Q08496
P34252;P38797
P43586;P53861
P16522;P23301
Q08208;P15790
Q03957;P38922
P46947;P53086
P38077;P36130
P36130;P39079
P06243;Q06631
Q12389;P15790
P15790;P37838
Q03048;Q06440
P06738;P22204
P32580;Q08949
Q05016;P39009
P32801;P17255
Q12018;P35182
Q03957;P25555
Q08496;P42945
P53883;Q08004
Q12159;P15790
P40078;Q08004
Q08004;P40496
P38194;Q08004
Q03862;Q08004
Q08004;P40010
P53323;P33299
P39076;P16658
P47120;P39076
P38339;P32468
P07283;P32468
P38784;P32468
P32468;P46655
P12612;P26309
P32562;P39723
Q00362;P39079
P31383;Q00362
Q00362;P23292
P48234;P15790
P15790;P38779
P06787;P34216
P07806;P06787
Q03957;P02309
P46963;P22515
P08678;P07260
P09938;P08678
Q08496;P38707
P47027;P38861
Q02821;P47027
P12612;Q00362
P07283;Q04660
Q04660;Q07896
P25554;Q03330
P40036;P06738
P30606;P38970
Q12024;P06774
P39984;Q04947
P07256;P29295
Q12230;P29295
Q08273;P16861
Q00764;Q08273
P36139;P38217
P22515;P13186
P16649;P12754
P32485;Q06337
Q08273;Q07878
P38217;P41920
P09032;P32481
Q04660;Q00684
Q03532;Q04660
Q04660;P39079
Q04660;P38879
Q04660;Q05931
Q04660;Q12522
Q07963;Q04660
Q04660;P53136
P46655;Q04660
P39744;Q04660
Q12024;Q04660
Q08235;Q04660
P36049;Q04660
P23776;Q04660
Q06205;Q04660
P40991;Q04660
P53191;Q04660
Q04031;Q04660
Q04660;P40007
Q04660;P38779
P53927;Q04660
P22696;P07278
P07991;P22696
P31539;P22696
P32379;P22696
P22696;P16370
P38764;P22696
P04050;P22696
P27692;P22696
P22696;P41895
P22696;P53254
P33322;P17214
P17214;P36120
P17214;Q99181
P53914;P17214
P17214;P15424
P17967;P17214
P17214;P25270
P17214;Q04373
P17214;P35178
P40050;P17214
P17214;P42945
P17214;P34241
P36160;P17214
Q12754;P17214
P21268;Q03690
P53622;P21268
P21268;Q02821
P53599;P21268
P39521;P14741
P02309;P39521
P41813;P53115
P41813;P22579
P38764;P39729
P06738;P31374
P25555;P17629
P33441;P25555
P25555;P53552
Q07478;P25555
O13539;P25555
P53851;P25555
Q12159;P25555
Q05791;P32481
P32502;P38993
P32502;P32481
P32502;P32263
P15703;P14741
P40850;P14741
P33333;P14741
P23561;P39958
P39958;P38555
P39958;P36018
P39958;Q99260
P32502;P33418
P14741;P07253
P14741;P30624
P14741;P32481
P14741;P46943
P14741;P38323
P14741;P00937
P00931;P14741
P32610;P14741
P14741;P39702
P14741;Q04013
P14741;P47122
P14741;P36139
P40215;P14741
P53040;Q03330
Q03330;P38811
Q03330;P50102
P38146;P39958
P17157;P41818
P33329;P41818
P08539;P10823
P10823;P46655
P10823;Q05040
P24814;Q03048
Q03660;P32806
P16861;P24814
P24814;P04840
P39954;P24814
P38077;P06774
P06774;P43586
P25293;P06774
P06774;P46970
P06774;P39985
P32337;P06774
P06774;P39954
P06774;P53599
P06774;Q12522
P38779;P06774
P06774;P36036
P53944;P06774
Q12092;P06774
Q06822;P06774
Q04697;P13434
P17255;P13434
P32828;Q07084
P53599;P32828
P32485;P38623
P17629;Q07478
P29295;P38333
P14741;P29295
P02309;P29295
P29295;P43586
P29295;P34217
P40856;P29295
P17065;P29295
P15303;P29295
Q07381;P29295
P29295;P38321
P39998;P29295
P29295;P40010
P53136;P29295
P29295;P35691
P04821;P29295
P29295;P38911
P07248;Q08273
Q08273;P40850
P17629;P09232
P53599;P17629
P12954;P39009
P15303;P12954
P07283;P12954
P15891;P29295
P05626;P29295
P29295;P27637
P29295;P07991
P29295;P54861
P29295;P22146
P29295;P31539
P29295;P38523
P29295;Q07418
P29295;P38089
Q07807;P29295
P28000;P29295
Q02773;P29295
P36123;P29295
P29295;Q12136
P07284;P29295
P38810;P29295
P29295;P22203
Q12032;P29295
P29295;P34163
P47068;Q08273
P25655;Q08273
P30822;Q08273
P32528;Q08273
Q08273;P33892
P46943;Q08273
Q08273;Q06211
P10964;Q08273
P38764;Q08273
Q08723;Q08273
Q08273;P41811
P32836;P38217
P38130;P38217
Q12447;P38217
P32464;P33202
